,成交量(張),外資買賣進(張),投信買賣超,自營商買賣超,成交筆數,淨值(元),加權指數,加權指數成交量,0050聲量,nasdaQ Close,nasdaQ Volume,SP 500 Close,SP 500 Volume,大戶散戶比例
0,-0.651087962279702,0.8497566059656334,-0.23352020023587347,0.786885844850729,-0.9267971991432111,0.8484246652033981,0.7544980599470279,-0.7889374919294527,0.20582239511081638,-0.5825811273737364,-0.1898752425086557,-0.7359578643732013,-0.176250390328702,0.42167434238035645
1,-0.86737637971853,0.5943792022534456,0.20188491702914776,0.8006245362807014,-0.7850766372652744,0.5701632436185116,0.4334750424568479,0.046128721664699425,-0.6994976522978077,-0.2994315112136766,-0.6968569185530205,-0.5814786963229545,-0.0008460829752312412,0.7209897615960863
2,-0.8505277327516622,0.8680673361763073,-0.2116796245783967,0.6129049852946747,-0.9433573015093092,0.24407473110996372,0.42037215774143405,-0.5106585389327173,-0.20631372290883893,0.8359063769750722,0.5156750461318612,0.6234212756646449,-0.5346381534321771,0.7185472026136724
3,0.4670017454609195,-0.37842307310997164,0.15015975028538614,0.9033733962439061,-0.733600181732702,0.5062460054645282,0.2778443008893868,0.6421160639337128,0.7993156670909278,0.7539315004961885,-0.36103797414680916,0.9719161967965456,-0.4119908991965578,0.7788165067741174
4,0.12125314817260002,0.6456433561079371,0.5898503664972132,0.4991035936540725,-0.8599994081215336,0.15824700101774997,0.07686034342692181,0.6722133324223167,0.08581943515359261,-0.40514302212204734,-0.8628004334727495,-0.6404688535114111,-0.5467058032513801,0.748376982321715
5,-0.12915642342640848,-0.48490393352809874,0.44268240974684353,0.5901508047199046,0.31434603236446934,-0.5604516911869946,-0.6160115817101711,-0.4962962122623656,-0.8639676896667472,-0.5766169969582572,0.5259194565833355,-0.4524436040075586,0.2851707898297847,-0.4672611642403131
6,0.8536894064134307,0.619116334627671,0.4496159807461239,0.930978734720999,0.8814409281622293,0.5089709568551011,0.4151252132490589,0.8425288178405571,0.8125573710922765,0.5556544250832979,0.23639233214617386,0.5720765247889007,-0.32042040510906755,-0.17919916829421964
7,0.47672991110607543,0.9412282387478236,,0.11828159050516789,-0.29209218605334814,0.769147007633082,0.6612382203740751,0.08648893487023702,-0.23657154671784847,0.5803494211563094,-0.33782653421584335,0.6585355800428937,-0.2111862527800843,0.5412290509696058
8,0.8117493333619539,0.8235467781630845,0.6544492956130323,0.8584512866927554,0.5445113092724096,0.8717200037525306,0.9180888164687967,-0.4527020176428292,0.1875483312980568,0.498728983115947,0.8321130482695658,0.5243171185461377,0.5840076344478905,0.9990873217982985
9,0.36851385587763835,0.6345132229669663,0.06560548032663317,-0.3203146524038582,0.1965862599294203,0.5634581801121415,0.6466182836675983,-0.012074094584644658,0.5350363661503976,0.18012668950278352,-0.17014689790247234,0.2613605121067618,-0.270444122133497,0.6167275259202564
10,-0.6196482306983965,-0.17760243400963488,-0.5739277758009922,0.6807789396957553,-0.7798081124467554,0.05445884851110386,-0.3085204089970485,-0.964356565209912,0.7903979063265408,0.6736506874837203,-0.44009776978001197,0.6064882953982227,0.8194645216667505,0.8344648187940585
